68,retired,married,secondary,no,19317,yes,no,cellular,4,aug,249,1,-1,0,unknown,yes,19.317
41,management,married,tertiary,no,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,no,0.176
42,management,divorced,tertiary,no,0,no,no,unknown,19,may,131,2,-1,0,unknown,no,0.0
59,retired,married,unknown,no,0,no,no,unknown,8,may,425,6,-1,0,unknown,no,0.0
39,self-employed,single,tertiary,no,3972,no,no,cellular,30,jul,122,3,-1,0,unknown,no,3.972
26,admin.,single,secondary,no,802,no,no,cellular,30,jan,77,1,2,2,other,no,0.802
49,management,married,tertiary,no,7007,no,no,cellular,17,nov,325,2,-1,0,unknown,no,7.007
40,admin.,single,secondary,no,462,yes,yes,cellular,6,apr,272,1,335,4,other,no,0.462
28,management,married,tertiary,no,318,yes,no,unknown,27,may,4,4,-1,0,unknown,no,0.318
42,blue-collar,married,primary,no,-119,yes,no,cellular,22,jul,167,3,-1,0,unknown,no,-0.119
48,admin.,divorced,secondary,no,4099,no,no,cellular,2,apr,397,2,-1,0,unknown,yes,4.099
46,admin.,married,secondary,no,3098,yes,no,telephone,21,nov,192,9,-1,0,unknown,no,3.098
34,technician,single,secondary,no,2729,yes,no,cellular,6,apr,945,1,139,1,success,no,2.729
41,blue-collar,married,primary,no,7735,yes,no,cellular,20,nov,220,1,190,1,failure,no,7.735
46,management,divorced,tertiary,no,25,no,no,unknown,26,may,103,2,-1,0,unknown,no,0.025
49,unemployed,divorced,secondary,no,66,no,no,cellular,9,jul,218,3,-1,0,unknown,no,0.066
30,technician,married,secondary,no,371,no,no,cellular,7,aug,124,2,-1,0,unknown,no,0.371
44,management,divorced,tertiary,no,0,no,no,cellular,10,aug,71,1,-1,0,unknown,no,0.0
39,self-employed,married,secondary,no,266,no,no,cellular,11,may,102,2,-1,0,unknown,no,0.266
32,management,single,tertiary,no,574,yes,no,cellular,14,apr,259,2,145,3,failure,no,0.574
36,management,divorced,tertiary,no,1057,no,no,cellular,5,feb,383,2,-1,0,unknown,no,1.057
29,services,divorced,secondary,no,84,yes,no,cellular,13,apr,1101,2,-1,0,unknown,yes,0.084
