26,blue-collar,married,primary,no,5116,yes,no,cellular,22,jul,246,3,-1,0,unknown,no,5.116
33,technician,single,tertiary,no,696,no,yes,cellular,5,feb,193,1,176,8,failure,no,0.696
44,admin.,divorced,secondary,no,432,no,no,cellular,9,feb,132,3,-1,0,unknown,no,0.432
28,blue-collar,single,secondary,no,0,yes,no,unknown,28,may,386,1,-1,0,unknown,no,0.0
52,management,married,tertiary,no,1339,yes,no,cellular,22,aug,343,5,-1,0,unknown,no,1.339
31,housemaid,single,primary,no,26965,no,no,cellular,21,apr,654,2,-1,0,unknown,yes,26.965
55,admin.,married,secondary,no,1102,yes,no,unknown,15,may,126,2,-1,0,unknown,no,1.102
47,technician,married,primary,no,187,yes,no,unknown,9,may,165,1,-1,0,unknown,no,0.187
30,technician,single,tertiary,no,985,yes,no,cellular,19,feb,88,2,-1,0,unknown,no,0.985
55,management,married,primary,no,621,no,yes,cellular,2,feb,114,1,208,1,failure,no,0.621
60,entrepreneur,married,primary,no,0,no,no,telephone,23,jul,40,1,-1,0,unknown,no,0.0
54,technician,married,secondary,no,-315,no,yes,cellular,10,jul,2029,1,-1,0,unknown,yes,-0.315
34,management,married,tertiary,no,133,yes,no,unknown,8,may,65,1,-1,0,unknown,no,0.133
39,technician,married,tertiary,no,794,no,no,telephone,2,feb,182,1,-1,0,unknown,no,0.794
32,management,married,secondary,no,3935,yes,no,unknown,29,may,129,2,-1,0,unknown,no,3.935
37,management,married,tertiary,no,347,yes,no,cellular,22,jul,282,1,-1,0,unknown,no,0.347
37,blue-collar,married,secondary,no,346,yes,no,cellular,17,apr,390,1,316,1,failure,no,0.346
31,management,single,secondary,no,36,no,no,cellular,27,aug,105,2,-1,0,unknown,no,0.036
33,technician,married,secondary,no,6699,no,no,cellular,9,nov,425,1,462,1,failure,no,6.699
54,services,married,secondary,no,386,yes,no,cellular,2,aug,155,2,-1,0,unknown,no,0.386
